STRAIGHT_DEM,STRAIGHT_GOP,STRAIGHT_ALL,SPLIT_BIDEN,SPLIT_TRUMP,SPLIT_ALL,TOTAL_BIDEN,TOTAL_TRUMP,TOTAL_ALL,GOP_Straight,DEM_Straight,GOP_Split,DEM_Split,prop_split,trump,biden
266,996,1271,298,371,698,564,1367,1969,0.783634933,0.209284028,0.531518625,0.426934097,0.354494667,0.694261046,0.286439817
364,498,876,300,221,528,664,719,1404,0.568493151,0.415525114,0.418560606,0.568181818,0.376068376,0.512108262,0.472934473
324,667,1012,281,278,582,605,945,1594,0.659090909,0.320158103,0.47766323,0.482817869,0.365119197,0.592848181,0.379548306
587,523,1142,248,229,482,835,752,1624,0.457968476,0.514010508,0.475103734,0.514522822,0.29679803,0.463054187,0.514162562
480,343,836,307,146,474,787,489,1310,0.410287081,0.574162679,0.308016878,0.647679325,0.361832061,0.373282443,0.600763359
302,679,988,333,325,685,635,1004,1673,0.687246964,0.305668016,0.474452555,0.486131387,0.409444112,0.600119546,0.379557681
418,983,1414,437,454,910,855,1437,2324,0.695190948,0.295615276,0.498901099,0.48021978,0.391566265,0.618330465,0.367900172
400,736,1143,365,346,753,765,1082,1896,0.64391951,0.349956255,0.459495352,0.484727756,0.397151899,0.570675105,0.403481013
462,392,864,346,232,583,808,624,1447,0.453703704,0.534722222,0.397941681,0.59348199,0.402902557,0.431237042,0.558396683
307,451,762,367,223,603,674,674,1365,0.591863517,0.402887139,0.369817579,0.608623549,0.441758242,0.493772894,0.493772894
243,260,508,223,170,399,466,430,907,0.511811024,0.478346457,0.426065163,0.558897243,0.439911797,0.474090408,0.513781698
439,431,874,462,205,683,901,636,1557,0.493135011,0.50228833,0.300146413,0.676427526,0.438664098,0.408477842,0.578676943
424,447,881,509,274,805,933,721,1686,0.50737798,0.481271283,0.340372671,0.632298137,0.477461447,0.427639383,0.553380783
390,466,864,506,248,768,896,714,1632,0.539351852,0.451388889,0.322916667,0.658854167,0.470588235,0.4375,0.549019608
340,460,822,401,273,687,741,733,1509,0.559610706,0.413625304,0.397379913,0.583697234,0.45526839,0.485752154,0.491053678
207,247,459,173,159,337,380,406,796,0.538126362,0.450980392,0.471810089,0.513353116,0.423366834,0.510050251,0.477386935
405,454,872,479,268,764,884,722,1636,0.520642202,0.464449541,0.35078534,0.626963351,0.466992665,0.441320293,0.540342298
200,364,570,300,189,499,500,553,1069,0.638596491,0.350877193,0.378757515,0.601202405,0.466791394,0.517305893,0.467726848
659,243,940,426,164,606,1085,407,1546,0.258510638,0.70106383,0.270627063,0.702970297,0.391979301,0.263260026,0.701811125
350,119,484,191,64,262,541,183,746,0.245867769,0.723140496,0.244274809,0.729007634,0.351206434,0.245308311,0.725201072
705,231,947,466,143,626,1171,374,1573,0.243928194,0.744456177,0.228434505,0.744408946,0.397965671,0.237762238,0.744437381
595,154,760,507,99,621,1102,253,1381,0.202631579,0.782894737,0.15942029,0.816425121,0.449674149,0.183200579,0.797972484
379,139,537,247,85,340,626,224,877,0.258845438,0.705772812,0.25,0.726470588,0.387685291,0.255416192,0.713797035
519,489,1020,484,286,789,1003,775,1809,0.479411765,0.508823529,0.362484157,0.613434728,0.43615257,0.428413488,0.554449972
333,213,561,335,171,516,668,384,1077,0.379679144,0.593582888,0.331395349,0.649224806,0.479108635,0.356545961,0.620241411
596,203,813,320,119,448,916,322,1261,0.249692497,0.733087331,0.265625,0.714285714,0.355273592,0.255352895,0.726407613
499,277,785,333,175,518,832,452,1303,0.352866242,0.63566879,0.337837838,0.642857143,0.397544129,0.346891788,0.638526477
373,425,816,378,243,634,751,668,1450,0.520833333,0.457107843,0.383280757,0.596214511,0.437241379,0.460689655,0.517931034
558,192,772,261,105,380,819,297,1152,0.248704663,0.722797927,0.276315789,0.686842105,0.329861111,0.2578125,0.7109375
564,224,813,375,152,539,939,376,1352,0.275522755,0.693726937,0.282003711,0.695732839,0.398668639,0.278106509,0.694526627
