"ID","ag-2018","ag-2022","compt-2018","gov-2018","gov-2022","ltgov-2018","ltgov-2022","pres-2016","pres-2020","pres-2024","sc-2016","sc-2018","sc-2020","senator-2018","senator-2020","senator-2024","trea-2022"
25,0.348177723177723,0.317778236630188,0.316816351811706,0.303901646006909,0.312506329113924,0.344235486508585,0.323426931748309,0.307893088327417,0.341987829614604,0.316221142162819,0.2954331696102,0.241317047265003,0.3261,0.349964721298256,0.32663728605104,0.340323240589198,0.295461499235084
26,0.388831756478815,0.38375350140056,0.352020725388601,0.337924701561065,0.379219462747086,0.380947497949139,0.386548563188794,0.338500474533376,0.405989847715736,0.381251902201481,0.301572327044025,0.272309009201798,0.3726,0.399778181084896,0.374923045351939,0.405129253090835,0.349923037455105
27,0.400881057268722,0.360852197070573,0.370021723388849,0.341203891366032,0.351617155023826,0.396752450980392,0.353219016326111,0.387402394586153,0.386340572356403,0.350429076224129,0.385561160151324,0.290089507171358,0.3791,0.399738140799678,0.375320282873834,0.375639713408393,0.337138743186259
28,0.603151714903698,0.538960370560988,0.579008438818565,0.534758816376165,0.52697603263641,0.58160237388724,0.51825959933222,0.600188048474718,0.535638243942006,0.463249418663431,0.590094389648955,0.471817676486937,0.5463,0.594128329297821,0.534180090871541,0.508065344703586,0.515161119915478
29,0.755951169888098,0.694216570959803,0.743788019383442,0.714199090449722,0.696165191740413,0.741333873910399,0.68583247156153,0.756353075407115,0.685792349726776,0.603219601093449,0.736153282378809,0.650922671353251,0.6896,0.761066398390342,0.678991943813262,0.658851476967569,0.673151750972763
30,0.79746317512275,0.781971947194719,0.78091579275257,0.750357215758318,0.776788424567439,0.788249694002448,0.781904467141236,0.789538714991763,0.787203887426605,0.737949969493594,0.762780548628429,0.695852534562212,0.7746,0.804225352112676,0.767444250333984,0.767932057710017,0.761026380873866
31,0.388722503356398,0.38409633551334,0.347654628476546,0.335852139283161,0.377159114001219,0.381133628227549,0.38230745437674,0.340138963121325,0.396833503575077,0.382143583485865,0.311644199129604,0.26911051212938,0.3686,0.394460169834209,0.377962449984611,0.402218570254725,0.354286300246103
32,0.660390946502058,0.662198669991688,0.6209375,0.601639344262295,0.650792038992689,0.648326832272634,0.659671249870774,0.637140145523568,0.667616237664055,0.621638330757342,0.571580176164703,0.524078679629211,0.632,0.671742638160549,0.63238016868957,0.654551039213679,0.613066363917845
33,0.781697341513292,0.743349144153434,0.768910623244199,0.746415861718353,0.738927738927739,0.771938775510204,0.739422084623323,0.767313882255218,0.75299249340637,0.672824302134647,0.74177268426033,0.680533574496948,0.7409,0.790400482994566,0.735285022162664,0.71594889758912,0.720535901193218
34,0.66358024691358,0.578522529886584,0.647096227214922,0.581367088607595,0.5671974845319,0.645098441345365,0.550288540807914,0.688157483595459,0.57843137254902,0.477699293642785,0.682108626198083,0.53739328400683,0.6006,0.657070961248113,0.579083479880004,0.531432673571941,0.562222222222222
35,0.759702725020644,0.741356177108061,0.738000419199329,0.714461160577218,0.738882670194362,0.746314812905886,0.734368486869529,0.72463768115942,0.730325609880576,0.670710571923744,0.700043205875999,0.64376088218224,0.7125,0.769129820310923,0.710728366881096,0.704470539761022,0.713644430525107
36,0.354079657736579,0.316953316953317,0.327860441251924,0.313284730660186,0.316333772685795,0.350549003660024,0.318767908309456,0.327843380981976,0.340018231540565,0.314048750885,0.317369623935176,0.250447227191413,0.3284,0.352017711582973,0.328590439144232,0.337120049124962,0.300346867986125
37,0.776801405975395,0.796928151736934,0.732782944926325,0.719674327527569,0.783182695237128,0.766190771777364,0.789825970548862,0.743753380205517,0.769097044687596,0.751436781609195,0.678501415813548,0.643215494108039,0.7319,0.786169244767971,0.735912963153033,0.770522006141249,0.743645157970567
38,0.392787823066708,0.387395736793327,0.339148281169831,0.33553500660502,0.384912173824754,0.386393726448722,0.391833810888252,0.359629746502577,0.408072203630463,0.39468323487472,0.30302400498805,0.266286558969486,0.3689,0.397158117504787,0.374463299938663,0.418802542546648,0.350800285452136
